Kod, Miasto
17,Białutki
23,Białuty
46,Bieniewice
75,Bieniewo-Parcela
81,Bieniewo-Wieś
98,Bramki
135,Cholewy
158,Dębówka
170,Górna Wieś
187,Konstantów
193,Kopytów
224,Łaźniew
247,Łaźniewek
253,Nowa Górna
260,Nowa Wieś
276,Nowe Faszczyce
282,Nowy Łuszczewek
299,Pass
307,Piorunów
313,Radonice
320,Radzików
336,Radzików
342,Rochaliki
359,Rokitno
388,Rokitno-Majątek
394,Błonie-Wieś
402,Stare Faszczyce
419,Stary Łuszczewek
425,Wawrzyszew
431,Witki
448,Wola Łuszczewska
454,Marysinek
460,Żukówka
490,Biskupice
514,Czubin
520,Domaniew
537,Domaniewek
550,Falęcin
566,Grudów
572,Kanie
589,Popówek
595,Koszajec
603,Kotowice
610,Krosna-Wieś
649,Krosna-Parcela
655,Milęcin
690,Moszna-Wieś
715,Otrębusy
738,Owczarnia
744,Parzniew
750,Terenia
767,Kopana
773,Żółwin
780,Celestynów
833,Dąbrówka
856,Okoły
862,Dyzin
879,Glina
885,Jatne
922,Lasek
951,Ostrowik
974,Ostrów
980,Podbiel
1040,Pogorzel
1057,Samuszyn
1063,Regut
1070,Stara Wieś
1086,Tabor
1092,Zabieżki
1117,Adamówek
1123,Aleksandrów
1130,Augustówek
1146,Brzozówka
1152,Cząstków Mazowiecki
1169,Cząstków Polski
1175,Cybulice
1181,Cybulice Duże
1198,Cybulice Małe
1206,Czeczotki
1212,Czosnów
1229,Dąbrówka
1235,Dębina
1241,Dobrzyń
1258,Izabelin-Dziekanówek
1264,Janów-Mikołajówka
1270,Janówek
1287,Jesionka
1293,Kaliszki
1301,Kaliszki
1318,Kazuń-Bielany
1324,Kazuń Polski
1330,Kiścinne
1347,Łomna
1353,Łomna-Las
1360,Łosia Wólka
1376,Małocice
1382,Kazuń Nowy
1399,Nowy Kazuń
1407,Palmiry
1413,Palmiry
1420,Pieńków
1436,Sady
1442,Sowia Wola
1459,Sowia Wola Folwarczna
1465,Truskawka
1471,Wiersze
1488,Wólka Czosnowska
1494,Wrzosówka
1502,Aleksandrów
1519,Baniocha
1525,Wilczynek
1531,Brześce
1554,Brzumin
1560,Kępa Radwankowska
1577,Buczynów
1583,Cendrowice
1590,Coniew
1614,Szpruch Górny
1620,Czachówek
1637,Julianów
1643,Kiełbaska
1650,Czaplin
1666,Czaplinek
1672,Zalesie
1689,Czarny Las
1695,Czersk
1703,Tatary
1710,Dębówka
1726,Dobiesz
1755,Karolina
1761,Walewice
1778,Kąty
1784,Królewski Las
1790,Krzaki Czaplinkowskie
1815,Krzymów
1821,Linin
1838,Lininek
1844,Łubna
1867,Mikówiec
1873,Moczydłów
1896,Budki Moczydłowskie
1904,Obręb
1910,Ostrówik
1927,Borki
1933,Pęcław
1940,Podgóra
1956,Podłęcze
1985,Podosowa
1991,Potycz
2000,Sierzchów
2016,Ługówka
2022,Sobików
2039,Kolonia Sobików
2045,Solec
2051,Szymanów
2068,Tomice
2074,Wincentów
2080,Wojciechowice
2097,Wólka Dworska
2105,Wólka Załęska
2111,Adamowizna
2140,Zapole
2157,Adamów
2163,Chlebnia
2186,Chrzanów Duży
2192,Chrzanów Mały
2200,Czarny Las
2223,Izdebno Kościelne
2230,Janinów
2246,Kady
2252,Kałęczyn
2269,Kozerki
2281,Kozery
2306,Kraśnicza Wola
2312,Książenice
2335,Urszulin
2341,Makówka
2358,Marynin
2364,Mościska
2370,Natolin
2387,Izdebno Nowe
2418,Kłudno Nowe
2424,Kozery Nowe
2430,Odrano-Wola
